Winter,Total
1940-1941,47.8
1941-1942,23.9
1942-1943,45.7
1943-1944,27.7
1944-1945,59.2
1945-1946,50.8
1946-1947,19.4
1947-1948,89.2
1948-1949,37.1
1949-1950,32
1950-1951,29.7
1951-1952,31.9
1952-1953,29.8
1953-1954,23.6
1954-1955,25.1
1955-1956,60.9
1956-1957,52
1957-1958,44.7
1958-1959,34.1
1959-1960,40.9
1960-1961,61.5
1961-1962,44.7
1962-1963,30.9
1963-1964,63
1964-1965,50.4
1965-1966,44.1
1966-1967,60.1
1967-1968,44.8
1968-1969,53.8
1969-1970,48.8
1970-1971,57.3
1971-1972,47.5
1972-1973,10.3
1973-1974,36.9
1974-1975,27.6
1975-1976,46.6
1976-1977,58.5
1977-1978,85.1
1978-1979,27.5
1979-1980,12.5
1980-1981,22.3
1981-1982,61.8
1982-1983,32.7
1983-1984,43
1984-1985,26.6
1985-1986,18.1
1986-1987,42.5
1987-1988,52.6
1988-1989,15.5
1989-1990,39.2
1990-1991,19.1
1991-1992,22
1992-1993,83.9
1993-1994,96.3
1994-1995,14.9
1995-1996,107.6
1996-1997,51.9
1997-1998,25.6
1998-1999,36.4
1999-2000,24.4
2000-2001,45.9
2001-2002,15.1
2002-2003,70.9
2003-2004,39.4
2004-2005,86.6
2005-2006,39.9
2006-2007,17.1
2007-2008,51.2
2008-2009,65.9
2009-2010,35.7
2010-2011,81
2011-2012,9.3
2012-2013,63.4
2013-2014,58.9
2014-2015,110.6
2015-2016,36.2