"Code","Airline"
"PLZ","Polar Airways Inc. "
"PMA","Pacific Missionary Aviation "
"PMT","Pilgrim Aviation & Airlines "
"PN","Pan American Airways Corp. "
"PNA","Peninsula Airways Inc. "
"PNM","Panama Aviation "
"PNQ","Panagra Airways "
"PNR","Pioneer Airways "
"PNS","Pine State Airlines "
"PO","Polar Air Cargo Airways "
"POA","Potomac Air "
"POC","Pocono Airlines Inc. "
"POL","Polar International "
"POM","Pompano Airways "
"PON","Ponderosa Aviation Inc. "
"POQ","Polyot Airlines "
"PP","Jet Aviation Business Jets AG "
"PPQ","Propair "
"PR","Philippine Airlines Inc. "
"PRA","Princeton Aviation Corp "
"PRD","Paradise Island Airlines "
"PRH","Promech "
"PRM","Prime Air Inc. "
"PRN","Puerto Rico Intl Airlines "
"PRO","Sundance Airlines "
"PRP","Propheter Aviation "
"PRQ","Florida West Airlines Inc. "
"PRR","Pro Air Services "
"PRV","Aloha Island Air "
"PSA","P.S. Air Freight Inc. "
"PTQ","Flight International "
"PU","Primeras Lineas Uruguays For International "
"PUQ","Aeropuma "
"PV","Eastern Provincial Airways "
"PVA","Precision Valley Aviation "
"PW","Pacific Western Airlines "
"PY","Surinam Airways Limited "
"PZ","Lineas Aereas Paraguayas "
"Q2","Zambia Airways Corp. "
"Q4","Master Top Linhas Aereas, Ltda. "
"Q5","40-Mile Air "
"QB","Inter-Quebec "
"QD","Grand Airways Inc. "
"QF","Qantas Airways Ltd. "
"QG","Sky West Aviation Inc. "
"QH","Air Florida Inc. "
"QN","Royal Air "
"QO","Aeromexpress "
"QOZ","Bar Harbor Airways "
"QQ","Reno Air Inc. "
"QR","Qatar Airways "
"QTQ","Aer Turas Teoranta "
"QWE","Qwest Commuter "
"QX","Horizon Air "
"R2","Orenburg Airlines "
"R3","Air Company Yakutia "
"RAI","Trans States Airlines "
"RAL","Royal-Air Ltd. "
"RAN","Pan Am Express "
"RAQ","Arista International Airlines Inc. "
"RAY","Royale Airlines Inc. "
"RB","Syrian Arab Airlines "
"RC","Republic Airlines Inc. "
"RCA","Mid-South Aviation Inc. "
"RDR","Rader Aviation "
"RDW","Redwing Airways "
"REA","Realwest Airlines "
"RED","Aerosun International Airlines Inc. "
"REP","Republic Airlines "
"REQ","Renown Aviation "
"RES","Resort Airlines Inc. "
"REX","Express Airlines Inc. "
"RG","Varig S. A. "
"RGQ","Regency Air "
"RHA","Royal Hawaiian Airways Inc. "
"RI","Airpac Inc. "
"RIA","Trump Air "
"RIC","Richardson Aviation "
"RID","Indiana Airways Inc. "
"RIO","Rio Airways Inc. "
"RIQ","Rich International Airways "
"RIV","Riverside Air Service "
"RJ","Alia-"
"RJS","Michigan Airways Inc. "
"RK","Air Afrique "
"RLQ","Reliant Airlines "
"RMH","Rocky Mountain Helicopters "
"RMV","Ram Aviation "
"RO","Tarom Romanian Air Transpor "
"ROA","Royal West Airways Inc. "
"ROE","Roederer Aviation Inc. "
"ROQ","Aero Uruguay "
"ROS","Great Western Airlines Inc. "
"ROY","Royal American Airways Inc. "
"RP","Chautauqua Airlines Inc. "
"RRT","Air Freight Express "
"RS","Sky Regional Airlines Inc. "
"RSC","Resort Commuter "
"RSQ","Aerotransportes Entre Rios "
"RSV","Air-Serve "
"RTQ","Aerotour Dominicano Cxa "
"RVA","Reeves Air "
"RVQ","Reeve Air Alaska, LLC "
"RW","Republic Airlines "
"RWG","Air Rovers Inc. "
"RY","Redcoat Air Cargo Limited "
"RYA","Arctic Transportation "
"RZZ","Aeromech Inc. "
"S3","Santa Barbara Airlines, C.A "
"S4","Sata Internacional "
"S5","Shuttle America Corp. "
"SA","South African Airways "
"SAC","Sundorph Aeronautical Corp. "
"SAH","Sea Air Shuttle "
"SAI","Seair Alaska Airlines Inc. "
"SAJ","Sajen Air Inc. "
"SAL","Sallee's Aviation "
"SAM","Samoan Airlines Inc. "
"SAQ","Southern Air Transport Inc. "
"SAS","Air Cortez International "
"SAX","Air Americana "
"SBA","Saber Aviation Inc. "
"SBN","Suburban Airlines "
"SBQ","Skyjet S.A. "
"SCN","Scott Aviation "
"SCO","Seaco Airlines Inc. "
"SCT","Skyline Airlines "
"SCY","South Coast Airways "
"SDQ","St. Lucia Airways Limited "
"SEA","SkyWest Airlines Inc. "
"SEB","Seaborne Aviation "
"SEG","Seagull Air Service "
"SEM","Semo Aviation Inc. "
"SEP","Southern Express Airways "
"SEQ","Sky Service F.B.O. "
"SER","Service Aviation Inc. "
"SFI","Stahmannfarms Inc. "
"SFO","Sfo Helicopter Airlines Inc. "
"SFS","Sierra Flite Service Inc. "
"SG","Jetsgo "
"SH","Servicio Aereo De Honduras "
"SHA","Shuttle America Corp. "
"SHS","Shasta Air Inc. "
"SHV","Shavano Air Inc. "
"SIA","Silver State Airlines "
"SIM","Simmons Airlines "
"SJA","San Juan Airlines Inc. "
"SJQ","Skycharter "
"SK","Scandinavian Airlines Sys. "
"SKB","Smokey Bay Air Inc. "
"SKG","Skagway Air Service "
"SKI","Sunbird Inc. "
"SKJ","Sky-Jet "
"SKL","Bas Airlines "
"SKM","Scheduled Skyways "
"SKS","Silver Kris Services Ltd. "
"SKT","Skytrain "
"SKW","Skyway Airlines "
"SLA","Mountain Bird/Salmon Air "
"SLO","Slocum Air Inc. "
"SLQ","Sky King Inc. "
"SLR","Salair "
"SLZ","Southeast Airlines Inc. "
"SM","Sunworld International Airlines "
"SMC","Stopher Mechanical Inc. "
"SMO","Samoa Aviation Inc. "
"SMQ","Serv. Aerolineas Mexicanas "
"SNA","Aviation Associates "
"SNB","Ccair "
"SNC","Gelco Courier Services Inc. "
"SNE","Shawnee Airlines "
"SNK","Spernak Airways Inc. "
"SNV","Sierra Nevada Airways "
"SO","Swiss World Airways "
"SOA","Mall Airways Inc. "
"SOE","Sky One Express "
"SOL","Soonair Lines Inc. "
"SOP","South Pacific Island Airway "
"SPF","Springfield Air Service "
"SPG","Springdale Air "
"SPH","Spirit Helicopter "
"SPQ","Sun Pacific International "
"SPR","Sportsman Flying Service "
"SQ","Singapore Airlines Ltd. "
"SR","Swissair Transport Co. Ltd. "
"SRA","Star Aviation "
"SRL","Sterling Air Service "
"SSA","S. S. Airways Inc. "
"SSP","Southern Seaplane "
"SSQ","Superior Airways Limited "
"SSS","Sierra Express Inc. "
"SST","Seaplane Shuttle Transport "
"ST","Belize Airways Limited "
"STA","State Airlines Inc. "
"STF","Trans East International "
"STG","Sedalia Marshall Boonvl Stg "
"STL","Westair Airlines Inc. "
"STQ","Skycraft Air Transport Inc. "
"STR","Star Aviation Corporation "
"STW","Stateswest Airlines "
"STZ","Air America Inc. "
"SU","Aeroflot Russian Airlines "
"SUA","Sunshine Airlines "
"SUI","Sun International Airways "
"SUT","Sunbelt "
"SUX","Sunair Express LLC "
"SV","Saudi Arabian Airlines Corp "
"SVA","Servant Air Inc. "
"SVL","Sun Valley Airlines "
"SVW","Global Jet Luxembourg, Sa "
"SWA","Sunwest Airlines "
"SWT","Swift Aire Lines Inc. "
"SXP","Sierra Expressway "
"SXQ","Serv De Trans Aereos Fuegui "
"SYB","Skybus Express Airlines "
"SYM","Skymaster "
"SYQ","Sun Country Airlines "
"SZQ","Aerolineas El Salvador S A "
"T3","Tristar Airlines Inc. "
"T9","TransMeridian Airlines "
"TA","Taca International Airlines "
"TAC","Air Colorado "
"TAF","Tri Air Freight "
"TAL","Tejas Airlines Inc. "
"TAN","Tanana Air Service "
"TAQ","Taquan Air Service "
"TAS","Yosemite Airlines Inc. "
"TAT","Talarik Creek Air Taxi "
"TBQ","Triair Bermuda Flt Operations "
"TCA","Trans Catalina Airlines "
"TCE","Oceanair Line "
"TCI","Trans California Airlines "
"TCL","Trans-Central Airlines Inc. "
"TCO","Trans-Colorado Airlines "
"TE","Air New Zealand "
"TEN","Tennessee Airways Inc. "
"TEQ","Transp. Aereos Ejecutivos "
"TER","Terre Haute Air Commuter "
"TFQ","Trans International Airlines Inc. "
"TFZ","Tri-State Airlines Inc. "
"TG","Thai Airways International Ltd. "
"TGO","Trans Air Cargo Inc. "
"TGQ","Tranps Aereos Guatemaltecos "
"TH","Transmile Air Service "
"THA","Tropical Helicopter Airways "
"THO","Thorson Aviation "
"THQ","T-Bird Air Inc. "
"TIA","Trans Air Inc. "
"TIE","Trans International Express "
"TIQ","Tyrolean Jet Service "
"TIS","Skyfreight "
"TJ","Jet Charter Service Inc. "
"TK","Turk Hava Yollari A.O. "
"TKQ","Trans-Air-Link Corporation "
"TLQ","Trans-Mediterranean Airways "
"TMA","Trans Mo Airlines "
"TMQ","Transportes Aereos Mercantiles Panamericanos S.A "
"TN","Air Tahiti Nui "
"TNQ","Emery Worldwide Airlines "
"TNS","Transtate Aviation "
"TP","Tap-Portuguese Airlines "
"TPQ","Aerial Transit Company "
"TQA","Venture Travel LLC d/b/a Taquan Air Service "
"TQQ","Taca Peru "
"TR","Transbrasil S.A. "
"TRA","Aeromexico Travel "
"TRI","Great Plains Airlines Inc. "
"TRO","Air Molakai "
"TRP","Trans Pennsylvania Airlines "
"TRR","Territorial Airlines "
"TS","Air Transat "
"TSA","Sierra Pacific Airlines "
"TSF","American Central Airlines "
"TSI","Trans Sierra Airlines Inc. "
"TSQ","TPI International Airways "
"TTD","Tatonduk Outfitters Limited d/b/a Tatonduk Flying Service "
"TTM","The Time Machine "
"TTQ","Canada 3000 Airlines Ltd. "
"TUL","Tulsair Beechcraft Inc. "
"TUR","Turner Aire "
"TVL","Travelair "
"TWA","Trans Western Airlines Utah "
"TWE","Trans World Express "
"TWQ","Air Transat "
"TXA","Texas National Airlines "
"TXE","Trans Air "
"TXQ","British Caribbean Airways "
"TXY","Texas Airways "
"TYE","Temsco Airlines "
"U2","UFS Inc. "
"U5","USA 3000 Airlines "
"U7","USA Jet Airlines Inc. "
"UA","United Air Lines Inc. "
"UAI","Universal Airways Inc. "
"UC","Ladeco "
"UD","Fast Air Carrier Ltd. "
"UH","US Helicopter Corporation "
"UMQ","Air Manila Inc. "
"UN","Transaero Airlines "
"UNQ","Overseas National Airways "
"UO","Hong Kong Express Airways Limited "
"UP","Bahamasair Holding Limited "
"UR","Empire Airlines Inc. "
"URQ","Aero Uruguay "
"USA","Air U.S. "
"USQ","USA 3000 Airlines "
"UT","Union De Transports Aeriens "
"UTQ","Universal Airlines Inc. "
"UXQ","Air Europa "
"UYQ","Aerolineas Uruguayas S.A. "
"V4","Vensecar International "
"V5","J.D.Valenciana De Aviation "
"V8","Iliamna Air Taxi "
"V9","Eagle Airlines "
"VAG","Vagabond Aviation Inc. "
"VAL","Vieques Air Link Inc. "
"VAQ","Vacationair "
"VAS","Valley Air Services "
"VC","Servicios Avensa "
"VCQ","Victory Air Transport Inc. "
"VE","Aerovias Venezolanas-Avensa "
"VEE","PSA Airlines Inc. "
"VER","Britt Airlines Inc. "
"VEZ","Valdez Airlines "
"VH","Aeropostal Alas De Venezuel "
"VIA","Air St. Thomas "
"VIG","Viking Express "
"VIN","Vale International Airlines "
"VIS","Virgin Islands Seaplane "
"VJT","VistaJet Limited "
"VK","Air Tungaru Corporation "
"VL","Mid-South Aviation Inc. "
"VLA","Village Aviation "
"VLY","Valley Airlines "
"VOQ","Avalon Aviation Ltd. "
"VP","Viacao Aerea Sao Paulo "
"VPJ","Vintage Props & Jets Inc. "
"VQ","Vintage Props & Jets Inc. "
"VR","Transportes Aereos De Cabo "
"VS","Virgin Atlantic Airways "
"VX","Virgin America Inc. "
"VSA","VistaJet Luftfahrtunternehmen GmbH "
"VY","Highland Express Airways "
"W3","Arik Air International "
"W4","Mn Aviation, Inc. "
"W7","Western Pacific Airlines "
"W9","Eastwind Airlines Inc. "
"WAC","Air East Airlines "
"WAI","Wise Airlines Inc. "
"WAL","Warbelow "
"WAP","Arrow Panama "
"WAQ","Air Charter Systems "
"WAR","Waring Air "
"WAS","Wright Air Service "
"WAW","Westward Airways Inc. "
"WC","Wien Air Alaska Inc. "
"WCA","Walker's International "
"WCI","Mountainwest Airlines "
"WD","Halisa Air "
"WDQ","Wardair Canada Inc. "
"WE","Centurion Cargo Inc. "
"WEB","Southeast Alaska Airlines "
"WEQ","Aero-Services-Corporate "
"WES","Western Star Airlines Inc. "
"WET","Western Charter Inc. "
"WFS","Wheeler Airlines "
"WFT","Westflight Aviation "
"WG","Sunwing Airlines Inc. "
"WGL","Wrangell Air Service "
"WGQ","Gateway Aviation Limited "
"WIA","Wisc Air "
"WIL","Will's Air "
"WIR","Williams Air Inc. "
"WIS","Air Wisconsin Inc. "
"WL","World Air Network "
"WLB","Wilburs Inc. "
"WLH","Welch Aviation "
"WLQ","Worldwide Airlines Inc. "
"WM","Windward Islands Airways "
"WN","Southwest Airlines Co. "
"WNG","Wings Airways "
"WNQ","Winair Inc. "
"WO","World Airways Inc. "
"WOA","Wings Of Alaska "
"WOQ","Winnport Logistics "
"WR","WestJet Encore Ltd. "
"WRA","Wra Inc. "
"WRB","40-Mile Air "
"WRD","Ward Air "
"WRT","Wright Airlines Inc. "
"WSK","AAR Western Skyways "
"WSU","Mission Air "
"WT","Nigeria Airways Ltd. "
"WTA","Westates Airlines "
"WW","WOW Air ehf "
"WWI","Wings West Airlines "
"WWQ","Worldways Canada Ltd. "
"X3","Hapag-Lloyd Express GmbH "
"X4","Air Excursions LLC "
"XAA","Aero Union Corp "
"XAB","Air Polynesia d/b/a DHL Cargo "
"XAC","Air Express International Airlines "
"XAE","Amerford Airways Inc. "
"XAF","Astro-Wing Airlines Inc. "
"XAG","Ball Brothers Inc. "
"XAH","Hawaii Pacific Air "
"XAI","Burlington Northern Inc. "
"XAJ","Central American International "
"XAK","Century Airlines Inc. "
"XAL","Challenge Air Transport Inc. "
"XAM","Cohlmia Aviation "
"XAN","Conner Air Lines Inc. "
"XAO","Dallas Flight Center "
"XAQ","Cam Air International Inc. "
"XAR","Jet Way Inc. "
"XAS","Klondike Air Inc. "
"XAT","Michigan Peninsula Airways "
"XAU","Flight Line Inc. "
"XAW","Northern Air Cargo Inc. "
"XAY","Pat Air "
"XAZ","Purolator Sky Courier Inc. "
"XBC","Jet East Inc. "
"XBD","Trans Continental Airlines "
"XBE","United Parcel Service "
"XBF","WTC Airlines "
"XBH","Profit Airlines Inc. "
"XBI","CF Air Freight "
"XBJ","International Air Service "
"XBL","Interstate Airlines Inc. "
"XBM","Phh Air Inc. "
"XBP","Circle Airfreight Corp. "
"XBQ","Aeronaves De Puerto Rico "
"XBR","Allstates Air Cargo Inc. "
"XBT","Pacific Alaska Airlines Inc. "
"XBV","Nal Inc. "
"XBW","DHL Airways "
"XBX","Icb International Airlines "
"XBY","Wrangler Aviation Inc. "
"XBZ","Air Natl Aircraft Sal & Ser "
"XC","Air Caribbean "
"XCA","Hawkins And Powers Aviation "
"XDA","Pacific Air Express Inc. "
"XDC","Hemisphere Air Charter "
"XDD","International Parcel Express Inc. "
"XDE","Air Train Inc. "
"XDF","Salair Inc. "
"XDH","Kitty Hawk Air Cargo "
"XE","ExpressJet Airlines Inc. "
"XF","Vladivostok Air "
"XG","North American Airlines "
"XJ","Mesaba Airlines "
"XPA","Express Air d/b/a Sunrise "
"XPE","Amira Air GmbH "
"XPQ","International Cargo Xpress "
"XV","Presidential Airways Inc. "
"XY","Munz Northern Airlines Inc. "
"XYZ","Airpac Inc. "
"Y2","Globespan Airways Limited d/b/a Flyglobespan "
"Y4","Concesionaria Vuela Compania De Aviacion SA de CV "
"Y7","Flyjet Limited d/b/a Silverjet "
"Y8","Yangtze River Express Airlines Company "
"YB","Trans Continental Airlines "
"YBQ","Yellow Bird Air "
"YM","Royal West Airlines "
"YTU","Alaska Central Express "
"YUT","Yute Air Aka Flight Alaska "
"YV","Mesa Airlines Inc. "
"ZA","Accessair Holdings "
"ZAQ","Zas Airline Of Egypt "
"ZB","Monarch Airlines "
"ZFZ","Mcphillips Flying Service "
"ZIA","Air New Mexico "
"ZKQ","Zantop International "
"ZL","Affretair "
"ZMZ","Winnipesaukee Aviation Inc. "
"ZN","Key Airlines Inc. "
"ZO","Florida Express Inc. "
"ZP","Air St. Thomas "
"ZQ","Caribbean Sun Airlines "
"ZS","Hispaniola Airways "
"ZUQ","Zuliana De Aviacion "
"ZV","Air Midwest Inc. "
"ZY","Atlantic Gulf Airlines "
"ZYZ","Skyway Aviation Inc. "
"1AQ","Charter Air Transport, Inc. "
NA,NA
NA,NA
"3M","Silver Airways "
NA,NA
"4E","Tanana Air Service "
NA,NA
NA,NA
NA,NA
NA,NA
"8D","Servant Air Inc. "
NA,NA
"9E","Pinnacle Airlines Inc. "
NA,NA
NA,NA
NA,NA
NA,NA
"AD","Avia Leasing Company "
NA,NA
NA,NA
"AJQ","Aerodynamics Inc. "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"ER","Astar USA, LLC "
"EV","ExpressJet Airlines Inc. "
"EXC","Hapag-Lloyd Executive GmbH "
NA,NA
"FL","AirTran Airways Corporation "
"G3","VRG Linhas Aereas S A "
NA,NA
NA,NA
NA,NA
NA,NA
"J5","Alaska Seaplane Service "
NA,NA
NA,NA
NA,NA
NA,NA
"K5","SeaPort Airlines, Inc. d/b/a Wings of Alaska "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"MQ","American Eagle Airlines Inc. "
"MRQ","National Air Cargo Group, Inc. d/b/a Murray Air "
NA,NA
NA,NA
"OH","Comair Inc. "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"PT","Capital Cargo International "
"Q7","SkyBahamas Airlines Ltd. "
NA,NA
NA,NA
NA,NA
"RD","Ryan International Airlines "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"SN","Brussels Airlines N.V. "
"SS","Corsair International "
"SS","Corsair "
NA,NA
NA,NA
NA,NA
"US","US Airways Inc. "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
"WI","Sky Lease Cargo "
NA,NA
NA,NA
"WST","West Isle Air "
NA,NA
NA,NA
"X9","Omni Air Express "
NA,NA
"XP","Casino Express "
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
